"rec_ID","Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","In.union","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet"
"0_1694_2000_NA","15-19",1694,NA,NA,NA,NA,0.775546181937225,0.745041901052174,0.0305042808850506,1.0852407234228,NA,NA,NA,"UW","0",NA,NA,0,231,"Ethiopia",2000,2000,2000.08469945355,2000.41256830601,"2000 DHS","DHS",0,0,0.390846897,0.529755173,0.272506954,0.002080292,0.000113,0.002399267
"0_1695_2006_NA","15-19",1695,NA,NA,NA,NA,13.2905199207496,13.2905199207496,0,8.14287652594214,NA,NA,NA,"UW","0",NA,NA,0,748,"Eswatini",2006,2007,2006.49589041096,2007.15890410959,"2006-2007 DHS","DHS",0,0,0.10013068,NA,0.121534199,0.011539201,0,0.008945559
"0_1696_2001_NA","15-19",1696,NA,NA,NA,NA,5.24466435411144,4.82634742297791,0.41831693113353,9.83434710117583,NA,NA,NA,"UW","0",NA,NA,0,894,"Zambia",2001,2002,2001.83287671233,2002.41095890411,"2001-2002 DHS","DHS",0,0,0.150457104,0.395952005,0.099171461,0.003139761,0.000447,0.004309813
"0_1698_2005_NA","15-19",1698,NA,NA,NA,NA,2.65795536371516,2.65795536371516,0,2.67853120493049,NA,NA,NA,"UW","0",NA,NA,0,716,"Zimbabwe",2005,2006,2005.58082191781,2006.15890410959,"2005-2006 DHS","DHS",0,0,0.171942969,NA,0.199806022,0.001529224,0,0.001598994
"0_1699_1996_NA","15-19",1699,NA,NA,NA,NA,4.2615683787934,3.36149103378065,0.900077345012754,10.5954792940335,NA,NA,NA,"UW","0",NA,NA,0,894,"Zambia",1996,1997,1996.49726775956,1997.08219178082,"1996 DHS","DHS",0,0,0.146748115,0.263899292,0.091981607,0.004476713,0.001929632,0.007857058
"0_170_2007_NA","15-19",170,NA,NA,NA,NA,8.72259024755041,8.39566615861044,0.326924088939966,1.37815071523741,NA,NA,NA,"UW","0",NA,NA,0,804,"Ukraine",2007,2007,2007.49589041096,2007.91232876712,"2007 DHS","DHS",0,0,0.157515148,0.584274014,0.424815706,0.012119747,0.001905597,0.005782162
"0_1700_1999_NA","15-19",1700,NA,NA,NA,NA,2.59151153455818,2.49356733174207,0.0979442028161083,2.76092569937404,NA,NA,NA,"UW","0",NA,NA,0,716,"Zimbabwe",1999,1999,1999.66575342466,1999.99726027397,"1999 DHS","DHS",0,0,0.183726316,0.716282087,0.184717861,0.003665574,7e-04,0.004602867
"0_1701_1994_NA","15-19",1701,NA,NA,NA,NA,2.82313083237105,2.3775958837291,0.445534948641944,3.60112241603682,NA,NA,NA,"UW","0",NA,NA,0,716,"Zimbabwe",1994,1994,1994.49589041096,1994.91232876712,"1994 DHS","DHS",0,0,0.197612507,0.452107857,0.147393715,0.00398206,0.001998897,0.004775383
"0_1705_2005_NA","15-19",1705,NA,NA,NA,NA,0.252076320279277,0.210740453121601,0.0413358671576756,1.11140079503998,NA,NA,NA,"UW","0",NA,NA,0,686,"Senegal",2005,2005,2005.08493150685,2005.41095890411,"2005 DHS","DHS",0,0,0.561434847,0.739142579,0.248701966,0.001180676,0.000305,0.002733763
"0_1707_1996_NA","15-19",1707,NA,NA,NA,NA,2.24274406332454,1.71503957783641,0.527704485488127,1.97889182058048,NA,NA,NA,"UW","0",NA,NA,0,174,"Comoros",1996,1996,1996.16393442623,1996.41256830601,"1996 DHS","DHS",0,0,0.310530611,0.492519707,0.240314479,0.005232859,0.002584405,0.004656723
"0_1709_2005_NA","15-19",1709,NA,NA,NA,NA,38.6060331767764,10.4147912474752,28.1912419293012,8.82501665914088,NA,NA,NA,"UW","0",NA,NA,0,178,"Congo",2005,2005,2005.49589041096,2005.91232876712,"2005 DHS","DHS",0,0,0.128722993,0.080230598,0.118483937,0.011672634,0.015761591,0.009166909
"0_1710_2002_NA","15-19",1710,NA,NA,NA,NA,4.03218967702585,3.24620315612632,0.785986520899531,3.68963216383457,NA,NA,NA,"UW","0",NA,NA,0,214,"Dominican Republic",2002,2002,2002.49589041096,2002.99726027397,"2002 DHS","DHS",0,0,0.131817158,0.292897474,0.120894815,0.004142872,0.002285211,0.004281085
"0_1714_2001_NA","15-19",1714,NA,NA,NA,NA,5.85134517730544,3.65348662356393,2.19785855374151,9.43332102380661,NA,NA,NA,"UW","0",NA,NA,0,466,"Mali",2001,2001,2001,2001.41095890411,"2001 DHS","DHS",0,0,0.188202122,0.225738117,0.13296857,0.004385633,0.001341166,0.006476065
"0_1715_1995_NA","15-19",1715,NA,NA,NA,NA,9.08815176777942,3.96677307309535,5.12137869468407,9.94930030229107,NA,NA,NA,"UW","0",NA,NA,0,466,"Mali",1995,1996,1995.83287671233,1996.41256830601,"1995-1996 DHS","DHS",0,0,0.174838301,0.169302013,0.133615249,0.003741923,0.004065904,0.005822558
"0_1717_2005_NA","15-19",1717,NA,NA,NA,NA,0.275959583826777,0.201814549965896,0.0741450338608805,1.24197671204684,NA,NA,NA,"UW","0",NA,NA,0,646,"Rwanda",2005,2005,2005.08493150685,2005.57808219178,"2005 DHS","DHS",0,0,0.425984893,0.709876583,0.182777694,0.000176,8.25e-05,0.001035133
"0_1721_1998_NA","15-19",1721,NA,NA,NA,NA,28.45914931356,27.8762971563962,0.582852157163773,7.44750193504642,NA,NA,NA,"UW","0",NA,NA,0,710,"South Africa",1998,1998,1998,1998.74520547945,"1998 DHS","DHS",0,0,0.061860269,0.320026441,0.096807748,0.007882762,0.000992,0.003696686
"0_1723_1995_NA","15-19",1723,NA,NA,NA,NA,4.8104392282128,3.0106019272758,1.799837300937,6.8330318961898,NA,NA,NA,"UW","0",NA,NA,0,800,"Uganda",1995,1995,1995.16164383562,1995.66301369863,"1995 DHS","DHS",0,0,0.190259258,0.263898077,0.170640775,0.003307414,0.002864436,0.007562525
"0_1729_1997_NA","15-19",1729,NA,NA,NA,NA,5.61402017116043,1.30863860710906,4.30538156405137,8.99523238626819,NA,NA,NA,"UW","0",NA,NA,0,450,"Madagascar",1997,1997,1997.66575342466,1997.99726027397,"1997 DHS","DHS",0,0,0.256038227,0.153577431,0.11465289,0.002407666,0.004837036,0.008139539
"0_1730_1992_NA","15-19",1730,NA,NA,NA,NA,1.47637795275591,0.78740157480315,0.688976377952756,2.46062992125984,NA,NA,NA,"UW","0",NA,NA,0,686,"Senegal",1992,1993,1992.83333333333,1993.66301369863,"1992-1993 DHS","DHS",0,0,0.393442966,0.428976127,0.212996069,0.003073846,0.002935419,0.005110735
"0_1732_1994_NA","15-19",1732,NA,NA,NA,NA,7.9025182280208,2.38903267732489,5.51348555069592,7.60090325203661,NA,NA,NA,"UW","0",NA,NA,0,140,"Central African Republic",1994,1995,1994.66575342466,1995.24383561644,"1994-1995 DHS","DHS",0,0,0.223961033,0.185222268,0.133880071,0.003539373,0.007051245,0.008603022
"0_1734_2003_NA","15-19",1734,NA,NA,NA,NA,5.99241749782002,3.09109258123776,2.90132491658227,7.58301228079956,NA,NA,NA,"UW","0",NA,NA,0,450,"Madagascar",2003,2004,2003.83287671233,2004.24590163934,"2003-2004 DHS","DHS",0,0,0.222297054,0.250296482,0.18237394,0.006065833,0.005281577,0.00777219
"0_1735_1998_NA","15-19",1735,NA,NA,NA,NA,21.8577416778361,8.60501284194282,13.2527288358933,10.1090472681849,NA,NA,NA,"UW","0",NA,NA,0,768,"Togo",1998,1998,1998.08493150685,1998.41095890411,"1998 DHS","DHS",0,0,0.120451899,0.10143361,0.110893002,0.00921075,0.012562356,0.009964849
"0_1736_2006_NA","15-19",1736,NA,NA,NA,NA,0.161941560940153,0.161941560940153,0,0.728200993253615,NA,NA,NA,"UW","0",NA,NA,0,562,"Niger",2006,2006,2006,2006.41095890411,"2006 DHS","DHS",0,0,0.71715165,NA,0.390195887,0.000144,0,0.001844078
"0_1737_2000_NA","15-19",1737,NA,NA,NA,NA,31.6735287264509,12.6354475639213,19.0380811625296,13.2248118063767,NA,NA,NA,"UW","0",NA,NA,0,266,"Gabon",2000,2000,2000.49726775956,2001.08219178082,"2000 DHS","DHS",0,0,0.119122443,0.084029021,0.119497914,0.012676441,0.012347871,0.012843302
"0_1739_1999_NA","15-19",1739,NA,NA,NA,NA,6.99781265512893,3.55127851649014,3.44653413863879,7.18197719573102,NA,NA,NA,"UW","0",NA,NA,0,324,"Guinea",1999,1999,1999.32876712329,1999.57808219178,"1999 DHS","DHS",0,0,0.17376352,0.19701964,0.13621166,0.00348537,0.004630324,0.005851241
"0_1740_2005_NA","15-19",1740,NA,NA,NA,NA,13.1126319197758,8.69527777799524,4.41735414178052,9.33191129306216,NA,NA,NA,"UW","0",NA,NA,0,324,"Guinea",2005,2005,2005.08493150685,2005.49315068493,"2005 DHS","DHS",0,0,0.189047624,0.209123521,0.120881584,0.010634721,0.004545198,0.005389653
"0_1742_1990_NA","15-19",1742,NA,NA,NA,NA,8.56818413744464,2.72214178128191,5.84604235616273,0.65781332508148,NA,NA,NA,"UW","0",NA,NA,0,566,"Nigeria",1990,1990,1990.24657534247,1990.8301369863,"1990 DHS","DHS",0,0,0.190920868,0.196687265,0.3448399,0.003750262,0.008982515,0.001184906
"0_1751_1998_NA","15-19",1751,NA,NA,NA,NA,6.94414394491276,3.56092221155474,3.38322173335803,6.10542828206293,NA,NA,NA,"UW","0",NA,NA,0,288,"Ghana",1998,1999,1998.83287671233,1999.15890410959,"1998 DHS","DHS",0,0,0.198204658,0.229493175,0.157489345,0.004176301,0.003136923,0.005335176
"0_1752_2003_NA","15-19",1752,NA,NA,NA,NA,8.51995759122803,6.32707884422205,2.19287874700598,6.5553681641732,NA,NA,NA,"UW","0",NA,NA,0,288,"Ghana",2003,2003,2003.49589041096,2003.8301369863,"2003 DHS","DHS",0,0,0.144434359,0.252243906,0.142654373,0.002532327,0.001160481,0.002515507
"0_1754_1993_NA","15-19",1754,NA,NA,NA,NA,10.9034267912773,4.20560747663551,6.69781931464174,3.27102803738318,NA,NA,NA,"UW","0",NA,NA,0,288,"Ghana",1993,1994,1993.66575342466,1994.15890410959,"1993 DHS","DHS",0,0,0.208508134,0.161591782,0.237705794,0.008405651,0.010106357,0.007514962
"0_1758_2003_NA","15-19",1758,NA,NA,NA,NA,20.4516379896815,19.0589080840903,1.39272990559124,12.8708334348813,NA,NA,NA,"UW","0",NA,NA,0,508,"Mozambique",2003,2004,2003.58082191781,2004.08196721311,"2003 DHS","DHS",1,0,0.079954148,0.244720507,0.133892196,0.005137643,0.000846,0.00355745
"0_1759_2001_NA","15-19",1759,NA,NA,NA,NA,2.89349053478824,2.58904727787852,0.304443256909721,3.37542171373824,NA,NA,NA,"UW","0",NA,NA,0,558,"Nicaragua",2001,2001,2001.66575342466,2001.99726027397,"2001 DHS","DHS",0,0,0.168240216,0.452355952,0.164112351,0.003087952,0.001328531,0.004702557
"0_1761_2001_NA","15-19",1761,NA,NA,NA,NA,10.7987060962647,5.04663886494023,5.75206723132446,8.31813456615977,NA,NA,NA,"UW","0",NA,NA,0,204,"Benin",2001,2001,2001.58082191781,2001.91232876712,"2001 DHS","DHS",0,0,0.173660496,0.143021173,0.117930602,0.005618187,0.004214753,0.006287048
"0_1762_2004_NA","15-19",1762,NA,NA,NA,NA,0.800515590939651,0.548415772777468,0.252099818162183,2.75717090870798,NA,NA,NA,"UW","0",NA,NA,0,148,"Chad",2004,2004,2004.55737704918,2004.93989071038,"2004 DHS","DHS",0,0,0.372840639,0.659226607,0.292481951,0.002010585,0.001647038,0.00761997
"0_1765_2000_NA","15-19",1765,NA,NA,NA,NA,3.53234537417752,2.51017258785132,1.0221727863262,4.67482218882918,NA,NA,NA,"UW","0",NA,NA,0,332,"Haiti",2000,2000,2000.08469945355,2000.57923497268,"2000 DHS","DHS",0,0,0.235002538,0.291428578,0.173734649,0.005751813,0.002949419,0.007805243
"0_1766_1998_NA","15-19",1766,NA,NA,NA,NA,2.13536450411801,0.665003880940787,1.47036062317722,1.61760808967703,NA,NA,NA,"UW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",1998,1998,1998.16164383562,1998.74520547945,"1998 DHS","DHS",0,0,0.31216666,0.194903928,0.172842687,0.000854,0.001570996,0.001324518
"0_1767_1997_NA","15-19",1767,NA,NA,NA,NA,2.51707670004802,1.83336065005722,0.6837160499908,17.6627290864773,NA,NA,NA,"UW","0",NA,NA,0,508,"Mozambique",1997,1997,1997.16164383562,1997.57808219178,"1997 DHS","DHS",0,0,0.27936887,0.389719359,0.181640529,0.002797031,0.002495434,0.009288381
"0_1769_1993_NA","15-19",1769,NA,NA,NA,NA,1.39961000824818,0.368055426459284,1.0315545817889,2.16438642748461,NA,NA,NA,"UW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",1993,1994,1993.83287671233,1994.41095890411,"1994 DHS","DHS",0,0,0.432651587,0.260719339,0.192167582,0.000281,0.00224804,0.002089357
"0_1770_1995_NA","15-19",1770,NA,NA,NA,NA,0.296051228541258,0.218489575600429,0.0775616529408293,1.06391156669622,NA,NA,NA,"UW","0",NA,NA,0,320,"Guatemala",1995,1995,1995.41369863014,1995.99726027397,"1995 DHS","DHS",0,0,0.689466566,0.611231247,0.269831664,0.00143242,0.000474,0.002733902
"0_1772_1991_NA","15-19",1772,NA,NA,NA,NA,2.24770620475708,0.79193869811025,1.45576750664683,1.1850697865467,NA,NA,NA,"UW","0",NA,NA,0,604,"Peru",1991,1992,1991.74794520548,1992.24590163934,"1991-1992 DHS","DHS",0,0,0.231005196,0.164582458,0.181351041,0.001526274,0.001989103,0.001751592
"0_1773_1996_NA","15-19",1773,NA,NA,NA,NA,2.3088614799648,1.1031413771073,1.2057201028575,1.93803260009796,NA,NA,NA,"UW","0",NA,NA,0,604,"Peru",1996,1996,1996.58196721311,1996.91256830601,"1996 DHS","DHS",0,0,0.178893083,0.154682746,0.121885221,0.001350782,0.001263992,0.00154873
"0_1774_2000_NA","15-19",1774,NA,NA,NA,NA,3.8798224913286,1.68144552530268,2.19837696602593,2.39992149782285,NA,NA,NA,"UW","0",NA,NA,0,604,"Peru",2000,2000,2000.49726775956,2000.91256830601,"2000 DHS","DHS",0,0,0.127952739,0.114134524,0.115743658,0.00102688,0.001655285,0.00176731
"0_1775_1997_NA","15-19",1775,NA,NA,NA,NA,1.51273749455712,1.45568089072376,0.0570566038333646,2.8877875822234,NA,NA,NA,"UW","0",NA,NA,0,558,"Nicaragua",1997,1998,1997.91506849315,1998.41095890411,"1998 DHS","DHS",0,0,0.188464578,0.76303091,0.143506542,0.002266183,0.000403,0.003575601
"0_1776_1992_NA","15-19",1776,NA,NA,NA,NA,3.54643325273936,1.52483275865538,2.02160049408399,1.70154959947096,NA,NA,NA,"UW","0",NA,NA,0,854,"Burkina Faso",1992,1993,1992.91530054645,1993.24383561644,"1993 DHS","DHS",0,0,0.292805956,0.229803311,0.333058086,0.003779865,0.005754079,0.005516353
"0_1777_1998_NA","15-19",1777,NA,NA,NA,NA,7.90847389967489,6.73803094050519,1.1704429591697,5.9392488749185,NA,NA,NA,"UW","0",NA,NA,0,854,"Burkina Faso",1998,1999,1998.83287671233,1999.24383561644,"1998-1999 DHS","DHS",0,0,0.128823994,0.297396305,0.135073502,0.006615476,0.002811661,0.006583399
"0_1778_1998_NA","15-19",1778,NA,NA,NA,NA,21.5249832583485,9.27423993790632,12.2507433204422,12.2461047595373,NA,NA,NA,"UW","0",NA,NA,0,384,"Côte d'Ivoire",1998,1999,1998.66575342466,1999.24383561644,"1998-1999 DHS","DHS",0,0,0.163661992,0.127547636,0.17431881,0.009482503,0.011545401,0.015073617
"0_1780_1996_NA","15-19",1780,NA,NA,NA,NA,11.6271527256963,2.00600500256233,9.62114772313397,5.81960468537328,NA,NA,NA,"UW","0",NA,NA,0,204,"Benin",1996,1996,1996.41530054645,1996.66393442623,"1996 DHS","DHS",0,0,0.259125776,0.166246683,0.1741404,0.004662775,0.014094391,0.008364238
"0_1785_2005_NA","15-19",1785,NA,NA,NA,NA,6.08419527901104,4.97643866507808,1.10775661393296,5.54169033626712,NA,NA,NA,"UW","0",NA,NA,0,332,"Haiti",2005,2006,2005.74794520548,2006.49315068493,"2005-2006 DHS","DHS",0,0,0.174110999,0.265020043,0.114323485,0.008251303,0.002915776,0.005916493
"0_1786_2004_NA","15-19",1786,NA,NA,NA,NA,18.6530004647607,11.3542610506996,7.29873941406105,4.69695442484558,NA,NA,NA,"UW","0",NA,NA,0,120,"Cameroon",2004,2004,2004.08469945355,2004.66393442623,"2004 DHS","DHS",0,0,0.089749582,0.104387653,0.109003541,0.004096358,0.002847292,0.002186867
"0_1787_2003_NA","15-19",1787,NA,NA,NA,NA,9.57391740162136,8.82491399238307,0.749003409238291,4.29122058182959,NA,NA,NA,"UW","0",NA,NA,0,854,"Burkina Faso",2003,2003,2003.41369863014,2003.91232876712,"2003 DHS","DHS",0,0,0.118612534,0.296663786,0.123397051,0.003504156,0.000427,0.002382773
"0_1788_2005_NA","15-19",1788,NA,NA,NA,NA,2.74163944461901,2.37395867843518,0.367680766183832,2.7647148339064,NA,NA,NA,"UW","0",NA,NA,0,340,"Honduras",2005,2006,2005.74794520548,2006.41095890411,"2005-2006 DHS","DHS",0,0,0.133700107,0.331196327,0.110846404,0.00246808,0.000632,0.002288687
"0_1795_1997_NA","15-19",1795,NA,NA,NA,NA,1.58773672481191,1.11742556558449,0.470311159227416,2.79208741016886,NA,NA,NA,"UW","0",NA,NA,0,686,"Senegal",1997,1997,1997,1997.32602739726,"1997 DHS","DHS",0,0,0.26176799,0.48803502,0.179745544,0.002281114,0.002148909,0.004349798
"0_1798_1991_NA","15-19",1798,NA,NA,NA,NA,26.3089941371112,1.21527494085232,25.0937191962589,3.77175300438533,NA,NA,NA,"UW","0",NA,NA,0,120,"Cameroon",1991,1991,1991.24657534247,1991.74520547945,"1991 DHS","DHS",0,0,0.300409962,0.120997372,0.261902586,0.003015894,0.021385798,0.008974916
"0_1799_1992_NA","15-19",1799,NA,NA,NA,NA,10.0286530055188,9.30459464440149,0.724058361117282,6.21322664318872,NA,NA,NA,"UW","0",NA,NA,0,516,"Namibia",1992,1992,1992.49726775956,1992.91256830601,"1992 DHS","DHS",0,0,0.126609569,0.372766921,0.115220349,0.010693349,0.002682908,0.006647713
"0_1807_2000_NA","15-19",1807,NA,NA,NA,NA,21.8850266221865,21.5954780769979,0.289548545188669,8.63099461763644,NA,NA,NA,"UW","0",NA,NA,0,516,"Namibia",2000,2000,2000.66666666667,2000.99726775956,"2000 DHS","DHS",0,0,0.099329341,0.486524623,0.132023224,0.014777136,0.000727,0.008590483
"0_1808_2004_NA","15-19",1808,NA,NA,NA,NA,7.69663774575288,7.66514520594865,0.0314925398042286,6.07375282859281,NA,NA,NA,"UW","0",NA,NA,0,426,"Lesotho",2004,2005,2004.66666666667,2005.08219178082,"2004 DHS","DHS",0,0,0.118317651,1.001905025,0.136467894,0.005068393,4.83e-05,0.004637448
"0_1812_2005_NA","15-19",1812,NA,NA,NA,NA,0.00379473260676025,0.00379473260676025,0,0.0542663902759365,NA,NA,NA,"UW","0",NA,NA,0,116,"Cambodia",2005,2006,2005.66575342466,2006.24383561644,"2005 DHS","DHS",0,0,1.002357483,NA,0.556301502,3.8e-05,0,0.000302
"0_1820_2005_NA","15-19",1820,NA,NA,NA,NA,6.57016362983637,4.74805921077976,1.82210441905661,1.31110741290103,NA,NA,NA,"UW","0",NA,NA,0,498,"Republic of Moldova",2005,2005,2005.41369863014,2005.66301369863,"2005 DHS","DHS",0,0,0.145244806,0.223187628,0.245924796,0.004544511,0.002615101,0.002057497
"0_1823_1993_NA","15-19",1823,NA,NA,NA,NA,4.93821350979184,1.74439532166371,3.19381818812813,4.40155066028209,NA,NA,NA,"UW","0",NA,NA,0,404,"Kenya",1993,1993,1993.08493150685,1993.66301369863,"1993 DHS","DHS",0,0,0.21788623,0.176033255,0.139844589,0.002556508,0.003610056,0.002208945
"0_1824_1998_NA","15-19",1824,NA,NA,NA,NA,5.6553781625066,3.16992107947404,2.48545708303256,8.54932866851514,NA,NA,NA,"UW","0",NA,NA,0,404,"Kenya",1998,1998,1998.08493150685,1998.57808219178,"1998 DHS","DHS",0,0,0.163757025,0.190942373,0.11697882,0.001889659,0.001494022,0.002604831
"0_1826_1995_NA","15-19",1826,NA,NA,NA,NA,3.73998098934763,3.33316068265998,0.406820306687652,0.840269624691633,NA,NA,NA,"UW","0",NA,NA,0,398,"Kazakhstan",1995,1995,1995.32876712329,1995.74520547945,"1995 DHS","DHS",0,0,0.36446819,0.831488357,0.524867151,0.008137426,0.000812,0.001434719
"0_1828_1999_NA","15-19",1828,NA,NA,NA,NA,7.42196252589167,3.92249533363751,3.49946719225416,4.86521748627356,NA,NA,NA,"UW","0",NA,NA,0,566,"Nigeria",1999,1999,1999.16164383562,1999.41095890411,"1999 DHS","DHS",0,0,0.176709141,0.154387495,0.148263158,0.006399125,0.003267855,0.004207627
"0_1833_2000_NA","15-19",1833,NA,NA,NA,NA,4.33854548758828,4.01482889908615,0.323716588502126,8.02393241961225,NA,NA,NA,"UW","0",NA,NA,0,454,"Malawi",2000,2000,2000.49726775956,2000.91256830601,"2000 DHS","DHS",0,0,0.144258246,0.394011457,0.097471025,0.002786325,0.000565,0.004737807
"0_1834_1992_NA","15-19",1834,NA,NA,NA,NA,1.33133690112974,0.870773654002354,0.460563247127385,5.19792411685997,NA,NA,NA,"UW","0",NA,NA,0,454,"Malawi",1992,1992,1992.66666666667,1992.91256830601,"1992 DHS","DHS",0,0,0.482994176,0.661596829,0.21526773,0.003080689,0.002103667,0.009541171
"0_1835_1995_NA","15-19",1835,NA,NA,NA,NA,0.147573096629593,0.147573096629593,0,0.197904965830498,NA,NA,NA,"UW","0",NA,NA,0,232,"Eritrea",1995,1996,1995.66575342466,1996.08196721311,"1995 DHS","DHS",0,0,NA,NA,NA,NA,NA,NA
"0_1836_1993_NA","15-19",1836,NA,NA,NA,NA,0,0,0,0.0760479677172511,NA,NA,NA,"UW","0",NA,NA,0,608,"Philippines",1993,1993,1993.16164383562,1993.41095890411,"1993 DHS","DHS",0,0,NA,NA,0.738709338,0,0,0.000498
"0_1837_1998_NA","15-19",1837,NA,NA,NA,NA,0,0,0,0.382062834885447,NA,NA,NA,"UW","0",NA,NA,0,608,"Philippines",1998,1998,1998.08493150685,1998.32602739726,"1998 DHS","DHS",0,0,NA,NA,0.376092314,0,0,0.001226923
"0_1838_2004_NA","15-19",1838,NA,NA,NA,NA,5.49366357609193,4.95412978082335,0.53953379526858,7.69545121842937,NA,NA,NA,"UW","0",NA,NA,0,834,"United Republic of Tanzania",2004,2005,2004.74863387978,2005.15890410959,"2004-2005 DHS","DHS",0,0,0.149874198,0.434341661,0.127853593,0.00705114,0.002328728,0.009041893
"0_1843_2005_NA","15-19",1843,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,"UW","0",NA,NA,0,51,"Armenia",2005,2005,2005.66575342466,2005.99726027397,"2005 DHS","DHS",0,0,NA,NA,NA,0,0,0
"0_1844_2003_NA","15-19",1844,NA,NA,NA,NA,3.72455731851447,1.89598728866781,1.82857002984665,4.54779872695848,NA,NA,NA,"UW","0",NA,NA,0,68,"Bolivia (Plurinational State of)",2003,2004,2003.58082191781,2004.08196721311,"2003 DHS","DHS",0,0,0.138579773,0.178125535,0.094235242,0.002583164,0.003201677,0.004091483
