"Age..range","Catalog.ID","Note.on.data","Note.on.methods","Note.on.country","Note.on.population","Contraceptive.use.ANY","Contraceptive.use.MODERN","Contraceptive.use.TRADITIONAL","Unmet","GEO.biases..unknown.direction.","Non.pregnant.and.other.positive.biases","Negative.bias","Population.type","age.cat.bias","Modern.method.bias","Folk.method.positive.bias","Absence.of.probing.questions.bias...1","ISO.code","Country","Start.year_Year","End.year_Year","Start.year","End.year","Source.name","Data.series.type","EXCLUDE1isyes","SurveyID","SE.logR.modern.nouse","SE.logR.trad.nouse","SE.logR.unmet.noneed","SE.modern","SE.trad","SE.unmet","In.union","rec_ID"
"15-49",1943,NA,NA,NA,NA,57.54509792,17.45935432,40.0857436,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2000,2000,2000.415301,2000.513661,"2000 MICS","MICS",0,"alwm2",0.088144344,0.087388811,NA,0.010513019,0.01819887,NA,1,"1_1943_2000_NA"
"15-44",1681,NA,NA,NA,NA,75.1,8,67.1,NA,NA,NA,NA,"MW","?",NA,NA,0,8,"Albania",2002,2002,2002.580822,2002.99726,"2002 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1681_2002_NA"
"15-49",1906,NA,NA,NA,NA,60.12268719,24.82815703,35.29453016,NA,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2005,2005,2005.747945,2005.912329,"2005 MICS","MICS",0,"alwm3",0.083135069,0.084929219,NA,0.013524941,0.017002711,NA,1,"1_1906_2005_NA"
"15-49",4483,NA,NA,NA,NA,69.33324221,10.62799053,58.70525169,12.863141,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2008,2009,2008.748634,2009.326027,"2008-2009 DHS","DHS",0,"al51",0.080172409,0.063049145,0.072929847,0.005968363,0.012729963,0.00776014,1,"1_4483_2008_NA"
"15-49",7474,NA,NA,NA,NA,46.00868753,3.653840429,42.3548471,15.16977482,NA,NA,NA,"MW","0",NA,NA,0,8,"Albania",2017,2018,2017.693151,2018.136986,"2017-2018 DHS","DHS",0,"al71",0.08118024,0.070972369,0.047678736,0.002850003,0.017040649,0.007323848,1,"1_7474_2017_NA"
"15-49",693,NA,NA,NA,NA,35.8,31.3,4.5,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1986,1987,1986,1987,"1986-1987 ENF","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_693_1986_NA"
"15-49",32,NA,NA,NA,NA,50.7,42.9,7.8,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",1992,1992,1992.415301,1992.579235,"1992 MCH","PAPCHILD",0,NA,NA,NA,NA,NA,NA,NA,1,"1_32_1992_NA"
"15-49",713,NA,NA,NA,NA,56.9,49.4,7.5,NA,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",1995,1995,1995.747945,1995.830137,"1995 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_713_1995_NA"
"15-49",1933,NA,NA,NA,NA,64,55,9,NA,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2000,2000,2000.336066,2000.355191,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1933_2000_NA"
"15-49",149,NA,NA,NA,NA,57,51.7,4.9,NA,NA,NA,NA,"MW","0",NA,NA,0,12,"Algeria",2002,2002,2002.665753,2002.912329,"2002 MCH","PAPFAM",0,NA,NA,NA,NA,NA,NA,NA,1,"1_149_2002_NA"
"15-49",1913,NA,NA,NA,NA,61.4,53.9,7.5,10.8,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2006,2006,2006.227397,2006.438356,"2006 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1913_2006_NA"
"15-49",4984,NA,NA,NA,NA,57.12173594,47.87687673,9.244859216,7,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2012,2013,2012.803279,2013.082192,"2012-2013 MICS","MICS",0,"agwm4",0.022541823,0.053498578,NA,0.005820653,0.00446648,NA,1,"1_4984_2012_NA"
"15-49",7573,NA,NA,NA,NA,53.6,44.9,8.1,14.1,NA,NA,NA,"MW","0",NA,NA,1,12,"Algeria",2018,2019,2018.980822,2019.30411,"2018-2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7573_2018_NA"
"15-50",1908,NA,"Traditional methods include folk methods.",NA,"Data pertain to non-pregnant women.",8.1,4.0257,4.0743,NA,NA,"+",NA,"MW","0",NA,"Including folk methods.",0,24,"Angola",1996,1996,1996.581967,1996.997268,"1996 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1908_1996_NA"
"15-49",1937,NA,NA,NA,NA,6.270998417,4.864123817,1.4068746,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2001,2001,2001.246575,2001.830137,"2001 MICS","MICS",0,"aowm2",0.09766296,0.171242075,NA,0.004512082,0.002366087,NA,1,"1_1937_2001_NA"
"15-49",4873,"Estimated from data reported for age groups 15-19 to 45-49.",NA,NA,NA,20,11.68421634,8.315783664,NA,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2008,2009,2008.393443,2009.493151,"2008-2009 IBEP-MICS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4873_2008_NA"
"15-49",5805,NA,NA,NA,NA,13.6649912,12.53167678,1.133314418,37.99854314,NA,NA,NA,"MW","0",NA,NA,0,24,"Angola",2015,2016,2015.832877,2016.161202,"2015-2016 DHS","DHS",0,"ao71",0.075811017,0.155356055,0.032659179,0.008281604,0.001728826,0.008277041,1,"1_5805_2015_NA"
"15-44",2707,NA,NA,NA,"Data pertain to women exposed to the risk of pregnancy.",48.2,44.6,2.4,NA,NA,"+",NA,"MW","?",NA,NA,0,28,"Antigua and Barbuda",1981,1981,1981,1981,"1981 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2707_1981_NA"
"15-44",5083,NA,NA,NA,"Data pertain to fecund women.",52.6,NA,NA,NA,NA,"+",NA,"MW","?",NA,NA,0,28,"Antigua and Barbuda",1988,1988,1988,1988,"1988 CPS","CCPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5083_1988_NA"
"15-49",6003,NA,NA,"Data pertain to urban centers with 2,000 or more people.",NA,72.3702102,68.93258395,3.437626246,NA,"Data pertain to urban centers with 2,000 or more people.",NA,NA,"MW","0",NA,NA,0,32,"Argentina",2013,2013,2013.328767,2013.493151,"2013 ENSSyR","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_6003_2013_Data pertain to urban centers with 2,000 or more people."
"15-49",7574,NA,NA,NA,NA,70.10270872,67.22993193,1.744968123,12.54186879,NA,NA,NA,"MW","0",NA,NA,1,32,"Argentina",2019,2020,2019.747945,2020.245902,"2019-2020 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7574_2019_NA"
"15-44",5084,NA,NA,"Data pertain to Yerevan.",NA,56,25.2,30.8,NA,"Data pertain to Yerevan.",NA,NA,"MW","?",NA,NA,0,51,"Armenia",1991,1991,1991,1991,"1991 Contraceptive Survey","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5084_1991_Data pertain to Yerevan."
"15-49",1848,NA,NA,NA,NA,60.51641905,22.25455733,38.26186172,18.06607655,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2000,2000,2000.748634,2000.997268,"2000 DHS","DHS",0,"am42",0.050708328,0.04411587,0.056391589,0.007696317,0.009151819,0.006951294,1,"1_1848_2000_NA"
"15-49",1843,NA,NA,NA,NA,53.06841694,19.47972704,33.5886899,19.34117881,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2005,2005,2005.665753,2005.99726,"2005 DHS","DHS",0,"am54",0.063227948,0.051540404,0.06321745,0.008805317,0.010174037,0.009459245,1,"1_1843_2005_NA"
"15-49",5046,NA,NA,NA,NA,54.88704756,26.8155655,28.07148206,13.49105577,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2010,2010,2010.747945,2010.99726,"2010 DHS","DHS",0,"am61",0.07499327,0.058107057,0.072350098,0.013475088,0.010667985,0.008244419,1,"1_5046_2010_NA"
"15-49",5806,NA,NA,NA,NA,57.14919688,27.99093638,29.15826051,12.50047529,NA,NA,NA,"MW","0",NA,NA,0,51,"Armenia",2015,2016,2015.915068,2016.327869,"2015 DHS","DHS",0,"am72",0.045763841,0.046486081,0.06161063,0.008585844,0.008930389,0.006169811,1,"1_5806_2015_NA"
"20-49",2757,NA,NA,NA,NA,76.1,72.2,3.9,NA,NA,NA,NA,"MW","+",NA,NA,1,36,"Australia",1986,1986,1986,1986,"1986 FP","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2757_1986_NA"
"18-44",5603,NA,NA,NA,NA,65.162,63.058,2.104,NA,NA,NA,NA,"MW","+",NA,NA,1,36,"Australia",2005,2006,2005.643836,2006.186301,"2005-2006 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5603_2005_NA"
"18-44",6026,NA,NA,NA,NA,61.96,59.21,2.75,NA,NA,NA,NA,"MW","+",NA,NA,1,36,"Australia",2008,2009,2008.620219,2009.158904,"2008-2009 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_6026_2008_NA"
"18-44",6002,NA,NA,NA,NA,67.75,65.12,2.63,NA,NA,NA,NA,"MW","+",NA,NA,1,36,"Australia",2011,2012,2011.572603,2012.122951,"2011-2012 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_6002_2011_NA"
"18-44",7344,NA,NA,NA,NA,66.93,64.65,2.28,NA,NA,NA,NA,"MW","+",NA,NA,1,36,"Australia",2015,2016,2015.569863,2016.101093,"2015-2016 HILDA","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7344_2015_NA"
"20-49",2848,NA,NA,NA,NA,51.03079411,46.8325548,4.19823931,NA,NA,NA,NA,"MW","+",NA,NA,1,40,"Austria",1995,1996,1995.915068,1996.412568,"1995-1996 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2848_1995_NA"
"18-46",5426,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,"Data pertain to women with co-resident male partner.",69.6,67.6,2,NA,NA,NA,NA,"MW","+","+",NA,1,40,"Austria",2008,2009,2008.704918,2009.123288,"2008-2009 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5426_2008_NA"
"18-49",6025,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,NA,65.65257471,63.01042287,2.642151841,NA,NA,NA,NA,"MW","+","+",NA,1,40,"Austria",2012,2013,2012.724044,2013.4,"2012-2013 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_6025_2012_NA"
"15-49",1912,NA,NA,NA,NA,55.0748363,16.67446211,38.40037418,NA,NA,NA,NA,"MW","0",NA,NA,1,31,"Azerbaijan",2000,2000,2000.581967,2000.65847,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1912_2000_NA"
"15-44",1670,NA,NA,NA,NA,55.4,11.9,43.5,11.5,NA,NA,NA,"MW","?",NA,NA,0,31,"Azerbaijan",2001,2001,2001.246575,2001.578082,"2001 RHS","RHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_1670_2001_NA"
"15-49",179,NA,NA,NA,NA,51.13138901,14.28765423,36.84373478,15.40406,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2006,2006,2006.49589,2006.912329,"2006 DHS","DHS",0,"az52",0.063018527,0.050775299,0.053042072,0.006937499,0.010738062,0.007025425,1,"1_179_2006_NA"
"15-49",7530,NA,NA,NA,NA,54.9,13.9,41,NA,NA,NA,NA,"MW","0",NA,NA,0,31,"Azerbaijan",2011,2011,2011.580822,2011.830137,"2011 DHS-NS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7530_2011_NA"
"15-44",2777,NA,NA,NA,"Data pertain to fecund women.",61.73,60.12502,1.60498,NA,NA,"+",NA,"MW","?",NA,NA,0,44,"Bahamas",1988,1988,1988,1988,"1988 CCPS","CCPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2777_1988_NA"
"15-49",145,NA,NA,"Data pertain to nationals of the country.",NA,53.8,30.3,23.5,NA,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,48,"Bahrain",1989,1989,1989,1989,"1989 CHS","GFHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_145_1989_Data pertain to nationals of the country."
"15-49",181,NA,NA,"Data pertain to nationals of the country.",NA,61.8,30.6,31.2,NA,"Data pertain to nationals of the country.",NA,NA,"MW","0",NA,NA,0,48,"Bahrain",1995,1995,1995,1995,"1995 FHS","GFHS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_181_1995_Data pertain to nationals of the country."
"15-49",9008,NA,NA,NA,NA,53.4,NA,NA,NA,NA,NA,NA,"MW","0",NA,NA,0,48,"Bahrain",2000,2000,2000,2000,"2000 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_9008_2000_NA"
"15-49",749,NA,NA,NA,NA,7.9,5,3,NA,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1975,1976,1975,1976,"1975-1976 WFS","WFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_749_1975_NA"
"Oct-49",822,NA,NA,NA,NA,12.1,8.8,3.3,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1979,1980,1979.665753,1980,"1979-1980 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_822_1979_NA"
"Oct-49",653,NA,NA,NA,NA,18.6,11,7.6,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1981,1981,1981.328767,1981.580822,"1981 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_653_1981_NA"
"Oct-49",164,NA,NA,NA,NA,19.1,13.8,5.4,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1983,1984,1983.747945,1984,"1983-1984 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_164_1983_NA"
"Oct-49",801,NA,NA,NA,NA,25.3,18.4,6.9,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1985,1986,1985.915068,1986.246575,"1985-1986 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_801_1985_NA"
"Oct-49",828,NA,NA,NA,NA,30.8,23.2,7.6,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1988,1989,1988.915301,1989.246575,"1988-1989 FS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_828_1988_NA"
"Oct-49",161,NA,NA,NA,NA,31.4,24.5,7,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1989,1989,1989.161644,1989.49589,"1989 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_161_1989_NA"
"Oct-49",2802,NA,NA,NA,NA,39.9,31.2,8.7,NA,NA,NA,NA,"MW","?",NA,NA,0,50,"Bangladesh",1991,1991,1991,1991,"1991 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2802_1991_NA"
"15-49",1814,NA,NA,NA,NA,44.56805152,36.20771179,8.360339735,21.73892891,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1993,1994,1993.832877,1994.243836,"1993-1994 DHS","DHS",0,"bd31",0.035018878,0.048239867,0.035563338,0.007854302,0.003535727,0.005245509,1,"1_1814_1993_NA"
"15-49",1815,NA,NA,NA,NA,49.24144444,41.56279832,7.678646115,19.79962585,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1996,1997,1996.833333,1997.243836,"1996-1997 DHS","DHS",0,"bd3a",0.036626906,0.058932405,0.037250849,0.00848849,0.003955258,0.005985992,1,"1_1815_1996_NA"
"15-49",1816,NA,NA,NA,NA,53.77129147,43.46984538,10.30144609,18.47256463,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",1999,2000,1999.832877,2000.245902,"1999-2000 DHS","DHS",0,"bd41",0.035877468,0.051247595,0.037541513,0.008344674,0.004461244,0.005666179,1,"1_1816_1999_NA"
"13-49",5047,NA,NA,NA,NA,50.2,43.9,6.3,NA,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2001,2001,2001,2001.493151,"2001 DHS Special ","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5047_2001_NA"
"15-49",1813,NA,NA,NA,NA,58.06648299,47.28889795,10.77758504,15.19374699,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2004,2004,2004,2004.412568,"2004 DHS","DHS",0,"bd4j",0.039323823,0.045732447,0.039972169,0.009036736,0.003977748,0.005300453,1,"1_1813_2004_NA"
"15-49",1840,NA,NA,NA,NA,55.79032548,47.45693037,8.333395107,16.78745894,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2007,2007,2007.161644,2007.663014,"2007 DHS","DHS",0,"bd50",0.034578216,0.051463823,0.039499422,0.008123493,0.003673924,0.005328499,1,"1_1840_2007_NA"
"15-49",5048,NA,NA,NA,NA,61.21267468,52.05129875,9.16137593,13.4735596,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2011,2011,2011.49589,2011.99726,"2011 DHS","DHS",0,"bd62",0.023031652,0.038736759,0.031618065,0.005521121,0.00309957,0.003462964,1,"1_5048_2011_NA"
"15-49",5595,NA,NA,NA,NA,61.75754302,59.26917143,2.488371593,13.8952247,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2012,2013,2012.915301,2013.326027,"2012-2013 MICS","MICS",0,"bdwm5",0.015481321,0.03700405,0.021033735,0.003622931,0.000864958,0.002395881,1,"1_5595_2012_NA"
"15-49",5787,NA,NA,NA,NA,62.44731217,54.05530282,8.392009347,12.01001095,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2014,2014,2014.413699,2014.912329,"2014 DHS","DHS",0,"bd72",0.02838184,0.054012252,0.046407088,0.006400408,0.003787065,0.00459328,1,"1_5787_2014_NA"
"15-49",7618,NA,NA,NA,NA,62.8,56,6.7,NA,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2016,2016,2016.639344,2017.109589,"2016 BMMS","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7618_2016_NA"
"15-49",7475,NA,NA,NA,NA,61.84610094,51.89375588,9.952345062,11.99055455,NA,NA,NA,"MW","0",NA,NA,0,50,"Bangladesh",2017,2018,2017.747945,2018.243836,"2017-2018 DHS","DHS",0,"bd7r",0.023826267,0.030734234,0.031121416,0.00554988,0.00255942,0.003463319,1,"1_7475_2017_NA"
"15-49",7575,NA,NA,NA,NA,62.70176995,59.11444072,3.587329232,13.68997889,NA,NA,NA,"MW","0",NA,NA,1,50,"Bangladesh",2019,2019,2019.049315,2019.413699,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7575_2019_NA"
"15-49",108,NA,NA,NA,NA,46.54334909,44.6240093,1.91933979,NA,NA,NA,NA,"MW","0",NA,NA,0,52,"Barbados",1980,1981,1980,1981,"1980-1981 CPS","CPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_108_1980_NA"
"15-44",2778,NA,NA,NA,NA,55,53.35,1.65,NA,NA,NA,NA,"MW","?",NA,NA,0,52,"Barbados",1988,1988,1988,1988,"1988 CCPS","CCPS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2778_1988_NA"
"15-49",4986,NA,NA,NA,NA,59.20685012,55.38457469,3.822275429,19.9,NA,NA,NA,"MW","0",NA,NA,1,52,"Barbados",2012,2012,2012.330601,2012.830601,"2012 MICS","MICS",0,"bbwm4",0.074662156,0.177255487,0.124255671,0.018548752,0.006588875,0.017118297,1,"1_4986_2012_NA"
"18-34",2850,NA,NA,NA,NA,50.4,42.1,8.3,NA,NA,NA,NA,"MW","+",NA,NA,0,112,"Belarus",1995,1995,1995,1995,"1995 Survey","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2850_1995_NA"
"15-49",666,NA,NA,NA,NA,72.60969384,57.03718174,15.5725121,NA,NA,NA,NA,"MW","0",NA,NA,1,112,"Belarus",2005,2005,2005.832877,2005.99726,"2005 MICS","MICS",0,"blwm3",0.052566234,0.093792284,NA,0.012042544,0.01120288,NA,1,"1_666_2005_NA"
"15-49",4987,NA,NA,NA,NA,63.05790059,51.93332514,11.12457545,7,NA,NA,NA,"MW","0",NA,NA,1,112,"Belarus",2012,2012,2012.237705,2012.5,"2012 MICS","MICS",0,"blwm4",0.045990601,0.065919728,0.068141451,0.010676314,0.006064029,0.007066456,1,"1_4987_2012_NA"
"18-49",7498,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,NA,71.15,59.27,11.88,NA,NA,NA,NA,"MW","+","+",NA,1,112,"Belarus",2017,2017,2017,2017.912329,"2017 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7498_2017_NA"
"15-49",7576,NA,NA,NA,NA,52.6,45.9,6.5,17.5,NA,NA,NA,"MW","0",NA,NA,1,112,"Belarus",2019,2019,2019.161644,2019.493151,"2019 MICS","MICS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_7576_2019_NA"
"20-44",4955,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.","Data pertain to the Flemish population only.",NA,72,10.8,61.2,NA,"Data pertain to the Flemish population only.",NA,NA,"MW","+","+",NA,0,56,"Belgium",1966,1966,1966,1966,"1966 SFD","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4955_1966_Data pertain to the Flemish population only."
"20-44",4956,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.","Data pertain to the Flemish population only.",NA,87,47.85,39.15,NA,"Data pertain to the Flemish population only.",NA,NA,"MW","+","+",NA,0,56,"Belgium",1975,1976,1975,1976,"1975-1976 SFD","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_4956_1975_Data pertain to the Flemish population only."
"20-44",2725,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.","Data pertain to the Flemish population only.",NA,81,63.18,17.82,NA,"Data pertain to the Flemish population only.",NA,NA,"MW","+","+",NA,0,56,"Belgium",1982,1983,1982,1983,"1982-1983 SFD","National survey",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2725_1982_Data pertain to the Flemish population only."
"21-39",2803,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.","Data pertain to the Flemish population only.",NA,78.38644615,74.30012102,4.086325131,3.4,"Data pertain to the Flemish population only.",NA,NA,"MW","+","+",NA,1,56,"Belgium",1991,1992,1991.161644,1992.997268,"1991-1992 FFS","FFS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_2803_1991_Data pertain to the Flemish population only."
"18-49",5427,NA,"Modern methods include some cases of sterilisation for non-contraceptive reasons.",NA,"Data pertain to women with co-resident male partner.",73.7,72.8,0.9,NA,NA,NA,NA,"MW","+","+",NA,1,56,"Belgium",2008,2010,2008.084699,2010.410959,"2008-2010 GGS","GGS",0,NA,NA,NA,NA,NA,NA,NA,1,"1_5427_2008_NA"
