In.union,Catalog.ID,Age..range,Note.on.data,Note.on.methods,Note.on.country,Note.on.population,Contraceptive.use.ANY,Contraceptive.use.MODERN,Contraceptive.use.TRADITIONAL,Unmet,GEO.biases..unknown.direction.,Non.pregnant.and.other.positive.biases,Negative.bias,Population.type,age.cat.bias,Modern.method.bias,Folk.method.positive.bias,Absence.of.probing.questions.bias...1,ISO.code,Country,Start.year_excel_format,End.year_excel_format,Start.year,End.year,Source.name,Data.series.type,EXCLUDE1isyes,SE.logR.modern.nouse,SE.logR.trad.nouse,SE.logR.unmet.noneed,SE.modern,SE.trad,SE.unmet
0,647,15-19,NA,NA,NA,NA,12.35647387,10.7279022,1.62857167,26.72327237,NA,NA,NA,UW,0,NA,NA,0,430,Liberia,01/12/2006,30/04/2007,2006.92,2007.33,2007 DHS,DHS,0,0.139942395976464,0.280805777016557,0.0782042254836088,0.0132373568379098,0.00441839690814915,0.0149824013917597
0,652,15-19,NA,NA,NA,NA,0.321433133,0.321433133,0,NA,NA,NA,NA,UW,0,NA,NA,1,417,Kyrgyzstan,18/12/2005,03/02/2006,2005.96,2006.09,2005-2006 MICS,MICS,0,0.393236563262508,NaN,NaN,5.41797192798257e-4,0,0
0,666,15-19,NA,NA,NA,NA,13.00336663,13.00336663,0,NA,NA,NA,NA,UW,0,NA,NA,1,112,Belarus,01/11/2005,31/12/2005,2005.83,2006,2005 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,669,15-19,NA,NA,NA,NA,20.497767670000002,18.80444478,1.693322893,NA,NA,NA,NA,UW,0,NA,NA,1,768,Togo,10/05/2006,24/06/2006,2006.35,2006.48,2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,670,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,0.744475524,0.101678322,0.642797203,NA,NA,NA,NA,UW,0,NA,NA,0,598,Papua New Guinea,24/06/1996,04/08/1997,1996.48,1997.59,1996 DHS,National survey,0,NA,NA,NA,NA,NA,NA
0,675,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,2.497643098,0.90513468,1.592508418,NA,NA,NA,NA,UW,0,NA,NA,0,496,Mongolia,NA,NA,1998.25,1998.75,1998 RHS,National survey,0,NA,NA,NA,NA,NA,NA
0,676,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,0.58829932,0.105986395,0.482312925,NA,NA,NA,NA,UW,0,NA,NA,0,218,Ecuador,20/07/1989,01/10/1989,1989.55,1989.75,1989 ENDEMAIN-RHS,RHS,0,NA,NA,NA,NA,NA,NA
0,694,15-19,NA,NA,NA,NA,12.34079221,5.895510956,6.445281258,5.78532951,NA,NA,NA,UW,0,NA,NA,0,204,Benin,01/08/2006,30/11/2006,2006.58,2006.91,2006 DHS,DHS,0,0.093649029083828,0.0941514345570799,0.0932594459004693,0.00210288015218609,0.00265187302334034,0.00244717569130369
0,721,15-19,NA,NA,NA,NA,0.0125,0.0125,0,NA,NA,NA,NA,UW,0,NA,NA,1,860,Uzbekistan,01/03/2006,15/05/2006,2006.16,2006.37,2006 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,724,15-19,NA,NA,NA,NA,0.0903,0.0415,0.0488,NA,NA,NA,NA,UW,0,NA,NA,1,762,Tajikistan,01/09/2005,31/10/2005,2005.67,2005.83,2005 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,738,15-19,NA,NA,NA,NA,4.5116786,3.020263311,1.491415288,NA,NA,NA,NA,UW,0,NA,NA,0,862,Venezuela (Bolivarian Republic of),NA,NA,1998.25,1998.75,1998 ENPOFAM,National survey,0,NA,NA,NA,NA,NA,NA
0,830,15-19,Estimated from data reported for all women and married/in-union women.,Traditional methods include folk methods.,NA,NA,5.98631699,5.530216648,0.456100342,NA,NA,NA,NA,UW,0,NA,Including folk methods.,0,800,Uganda,01/08/2004,31/01/2005,2004.58,2005.08,2004-2005 AIS,National survey,0,NA,NA,NA,NA,NA,NA
0,831,15-19,NA,NA,NA,NA,6.809223933,5.641554685,1.167669248,10.9104249,NA,NA,NA,UW,0,NA,NA,0,834,United Republic of Tanzania,01/09/1999,30/11/1999,1999.67,1999.91,1999 RCHS,DHS,0,0.282569247320142,0.40695325061299,0.162689653445611,0.0142440053520153,0.00381577734880059,0.0139153957124525
0,832,15-19,NA,NA,NA,NA,2.70010445,2.70010445,0,NA,NA,NA,NA,UW,0,NA,NA,1,496,Mongolia,01/11/2005,31/12/2005,2005.83,2006,2005 MICS,MICS,0,NA,NA,NA,NA,NA,NA
0,1669,15-19,NA,NA,NA,NA,3.865445342,3.134990675,0.730454667,1.69909404,NA,NA,NA,UW,0,NA,NA,0,398,Kazakhstan,01/07/1999,30/09/1999,1999.5,1999.75,1999 DHS,DHS,0,0.241986226187757,0.492922124285885,0.340255171702231,0.003958378357925,0.00202444249141543,0.00414052962997475
0,1671,15-19,NA,NA,NA,NA,1.606275542,0.773387844,0.832887698,1.206683239,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/07/1991,30/11/1991,1991.5,1991.91,1991 DHS,DHS,0,0.433978696346281,0.574157404629402,0.296813770902903,0.00329765838020406,0.00249888968089274,0.00342614000590754
0,1672,15-19,NA,NA,NA,NA,0.638666637,0.638666637,0,NA,NA,NA,NA,UW,0,NA,NA,0,222,El Salvador,01/05/1985,31/07/1985,1985.33,1985.58,1985 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1674,15-19,NA,NA,NA,NA,28.10671415,5.860374446,22.24633971,6.831304262,NA,NA,NA,UW,0,NA,NA,0,120,Cameroon,01/02/1998,30/06/1998,1998.08,1998.49,1998 DHS,DHS,0,0.160300700178816,0.111942141071808,0.150947695664765,0.00628051921562937,0.0151337468434755,0.00823823075394582
0,1675,15-19,NA,NA,NA,NA,1.806248954,0.843119028,0.963129927,3.338064544,NA,NA,NA,UW,0,NA,NA,0,148,Chad,01/12/1996,31/07/1997,1996.92,1997.58,1996-1997 DHS,DHS,0,0.272653842517129,0.310575187461314,0.189527589946415,0.00219852145873106,0.00294969726567081,0.00576298551455582
0,1676,15-19,NA,NA,NA,NA,10.28866208,9.991124917,0.297537164,NA,NA,NA,NA,UW,0,NA,NA,0,426,Lesotho,13/05/2001,30/06/2001,2001.36,2001.49,2001 DS,National survey,0,NA,NA,NA,NA,NA,NA
0,1677,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,5.591145038,4.324427481,1.266717557,NA,NA,NA,NA,UW,0,NA,NA,0,834,United Republic of Tanzania,01/07/1994,30/09/1994,1994.5,1994.75,1994 KAP Survey,National survey,0,NA,NA,NA,NA,NA,NA
0,1678,15-19,NA,NA,NA,NA,2.791492016,0.756385804,2.035106213,NA,NA,NA,NA,UW,0,NA,NA,0,834,United Republic of Tanzania,01/10/1991,31/03/1992,1991.75,1992.25,1991-1992 DHS,DHS,0,0.322457813321043,0.221350232348086,0.179318532455874,0.00181575951415368,0.00379461420185362,0.0055733375533172
0,1679,15-19,NA,NA,NA,NA,3.873669718,2.770408331,1.103261387,11.15368242,NA,NA,NA,UW,0,NA,NA,0,834,United Republic of Tanzania,01/07/1996,30/11/1996,1996.5,1996.91,1996 DHS,DHS,0,0.215698916601371,0.245224584754626,0.101205907792872,0.00298970401207757,0.00242377758907042,0.0054954244366216
0,1680,15-19,NA,NA,NA,NA,0.521194004,0.212123239,0.309070764,2.439862905,NA,NA,NA,UW,0,NA,NA,0,562,Niger,01/03/1998,31/07/1998,1998.16,1998.58,1998 DHS,DHS,0,0.617378036324016,0.702468616148753,0.364758724031898,9.75204995488076e-5,3.04544779647049e-4,0.00807301757288979
0,1682,15-19,NA,NA,NA,NA,1.374856588,0.926929036,0.447927551,NA,NA,NA,NA,UW,0,NA,NA,0,466,Mali,01/05/2006,31/12/2006,2006.33,2007,2006 DHS,DHS,0,0.30043917317065,0.505541976227863,0.217591637881572,8.09035527233439e-4,4.34991791828135e-4,0.00157659818247737
0,1683,15-19,NA,NA,NA,NA,0.348837209,0.348837209,0,NA,NA,NA,NA,UW,0,NA,NA,0,218,Ecuador,01/01/1987,31/03/1987,1987,1987.24,1987 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1684,15-19,NA,NA,NA,NA,4.71081792,4.71081792,0,3.708449674,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/08/1999,31/12/1999,1999.58,2000,1999 DHS,DHS,0,0.457965371225926,NaN,0.488788674995775,0.0205576069330058,0,0.0172335823233659
0,1685,15-19,NA,NA,NA,NA,2.900254341,2.302460034,0.597794307,1.799414351,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/09/1996,31/12/1996,1996.67,1997,1996 DHS,DHS,0,0.217047720059226,0.414434627236166,0.241570002937193,0.00461871667455192,0.00199782446326953,0.00381758710238927
0,1686,15-19,NA,NA,NA,NA,1.717450148,0.964559813,0.752890335,0.828135753,NA,NA,NA,UW,0,NA,NA,0,600,Paraguay,01/05/1990,31/08/1990,1990.33,1990.66,1990 DHS,DHS,0,0.313921676776789,0.395653591682002,0.326444545873019,0.00299988121747267,0.00295728190318228,0.00267709700908285
0,1692,15-19,NA,NA,NA,NA,4.520076806,3.13168609,1.388390716,5.942535716,NA,NA,NA,UW,0,NA,NA,0,404,Kenya,01/04/2003,30/09/2003,2003.25,2003.75,2003 DHS,DHS,0,0.169343441112497,0.26611054710864,0.118603760142606,0.00201631011443928,0.0019889917964451,0.00343887015866791
0,1694,15-19,NA,NA,NA,NA,0.775546182,0.745041901,0.0305,1.085240723,NA,NA,NA,UW,0,NA,NA,0,231,Ethiopia,01/02/2000,31/05/2000,2000.08,2000.41,2000 DHS,DHS,0,0.390846897099767,0.529755173239479,0.272506953795914,0.00208029168212571,1.13451922035256e-4,0.002399266811346
0,1695,15-19,NA,NA,NA,NA,13.29051992,13.29051992,0,8.142876526,NA,NA,NA,UW,0,NA,NA,0,748,Eswatini,01/07/2006,28/02/2007,2006.5,2007.16,2006-2007 DHS,DHS,0,0.10013068044261,NaN,0.121534199165066,0.0115392005212152,0,0.00894555921265635
0,1696,15-19,NA,NA,NA,NA,5.244664354,4.826347423,0.418316931,9.834347101,NA,NA,NA,UW,0,NA,NA,0,894,Zambia,01/11/2001,31/05/2002,2001.83,2002.41,2001-2002 DHS,DHS,0,0.150457103844484,0.395952005406611,0.0991714606055701,0.00313976063013765,4.47487804005273e-4,0.00430981254430839
0,1697,15-19,NA,NA,NA,NA,3.804994055,2.615933413,1.189060642,NA,NA,NA,NA,UW,0,NA,NA,0,716,Zimbabwe,01/09/1988,31/01/1989,1988.67,1989.08,1988 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1698,15-19,NA,NA,NA,NA,2.657955364,2.657955364,0,2.678531205,NA,NA,NA,UW,0,NA,NA,0,716,Zimbabwe,01/08/2005,28/02/2006,2005.58,2006.16,2005-2006 DHS,DHS,0,0.171942969118915,NaN,0.199806022099326,0.00152922394528505,0,0.00159899384450585
0,1699,15-19,NA,NA,NA,NA,4.261568379,3.361491034,0.900077345,10.59547929,NA,NA,NA,UW,0,NA,NA,0,894,Zambia,01/07/1996,31/01/1997,1996.5,1997.08,1996 DHS,DHS,0,0.146748115047787,0.26389929199388,0.0919816066848478,0.0044767130969315,0.00192963179014289,0.0078570581346236509
0,1700,15-19,NA,NA,NA,NA,2.591511535,2.493567332,0.0979,2.760925699,NA,NA,NA,UW,0,NA,NA,0,716,Zimbabwe,01/09/1999,31/12/1999,1999.67,2000,1999 DHS,DHS,0,0.183726315925367,0.716282086831264,0.184717860713907,0.00366557379430998,7.00449369532397e-4,0.00460286684807665
0,1701,15-19,NA,NA,NA,NA,2.823130832,2.377595884,0.445534949,3.601122416,NA,NA,NA,UW,0,NA,NA,0,716,Zimbabwe,01/07/1994,30/11/1994,1994.5,1994.91,1994 DHS,DHS,0,0.197612507145869,0.452107857243445,0.147393715401084,0.003982060119922,0.00199889663749466,0.00477538274670751
0,1705,15-19,NA,NA,NA,NA,0.25207632,0.210740453,0.0413,1.111400795,NA,NA,NA,UW,0,NA,NA,0,686,Senegal,01/02/2005,31/05/2005,2005.08,2005.41,2005 DHS,DHS,0,0.561434846750839,0.739142579491565,0.248701965845725,0.00118067638841053,3.05404554207509e-4,0.00273376328381402
0,1707,15-19,NA,NA,NA,NA,2.242744063,1.715039578,0.527704485,1.978891821,NA,NA,NA,UW,0,NA,NA,0,174,Comoros,01/03/1996,31/05/1996,1996.16,1996.41,1996 DHS,DHS,0,0.310530611103617,0.492519706853965,0.240314479445671,0.00523285931179595,0.00258440465112375,0.00465672312242006
0,1708,15-19,NA,NA,NA,NA,5.586479741,0.358584865,5.227894876,NA,NA,NA,NA,UW,0,NA,NA,0,450,Madagascar,01/05/1992,30/11/1992,1992.33,1992.91,1992 DHS,DHS,0,0.433511433883232,0.156305871650627,NaN,0.00154875179732092,0.007691106303297,0
0,1709,15-19,NA,NA,NA,NA,38.60603318,10.41479125,28.19124193,8.825016659,NA,NA,NA,UW,0,NA,NA,0,178,Congo,01/07/2005,30/11/2005,2005.5,2005.91,2005 DHS,DHS,0,0.128722992973413,0.0802305976106757,0.11848393742219,0.0116726344706427,0.0157615910261752,0.0091669087520731
0,1710,15-19,NA,NA,NA,NA,4.032189677,3.246203156,0.785986521,3.689632164,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/07/2002,31/12/2002,2002.5,2003,2002 DHS,DHS,0,0.131817157828413,0.292897474039787,0.120894814691776,0.00414287152876476,0.00228521099458514,0.00428108528474517
0,1711,15-19,NA,NA,NA,NA,0.918358358,0.651879683,0.266478675,NA,NA,NA,NA,UW,0,NA,NA,0,214,Dominican Republic,01/09/1986,31/12/1986,1986.67,1987,1986 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1712,15-19,NA,NA,NA,NA,1.5078862,1.231978916,0.275907284,NA,NA,NA,NA,UW,0,NA,NA,0,170,Colombia,01/09/1986,31/12/1986,1986.67,1987,1986 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1714,15-19,NA,NA,NA,NA,5.851345177,3.653486624,2.197858554,9.433321024,NA,NA,NA,UW,0,NA,NA,0,466,Mali,01/01/2001,31/05/2001,2001,2001.41,2001 DHS,DHS,0,0.18820212163518,0.225738117406867,0.132968570257858,0.00438563291585663,0.00134116612952077,0.00647606479517656
0,1715,15-19,NA,NA,NA,NA,9.088151768,3.966773073,5.121378695,9.949300302,NA,NA,NA,UW,0,NA,NA,0,466,Mali,01/11/1995,31/05/1996,1995.83,1996.41,1995-1996 DHS,DHS,0,0.174838300538126,0.169302012651516,0.133615248562048,0.00374192265943272,0.00406590353265518,0.00582255755275276
0,1716,15-19,NA,NA,NA,NA,0.31373445,0.10457815,0.2091563,NA,NA,NA,NA,UW,0,NA,NA,0,108,Burundi,01/03/1987,31/07/1987,1987.16,1987.58,1987 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1717,15-19,NA,NA,NA,NA,0.275959584,0.20181455,0.0741,1.241976712,NA,NA,NA,UW,0,NA,NA,0,646,Rwanda,01/02/2005,31/07/2005,2005.08,2005.58,2005 DHS,DHS,0,0.425984893355339,0.709876583176233,0.182777693523271,1.76380123675893e-4,8.2540037689405e-5,0.00103513260568919
0,1720,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,25.74404762,25.74404762,0,NA,NA,NA,NA,UW,0,NA,NA,0,710,South Africa,01/10/2003,31/08/2004,2003.75,2004.66,2003 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1721,15-19,NA,NA,NA,NA,28.45914931,27.87629716,0.582852157,7.447501935,NA,NA,NA,UW,0,NA,NA,0,710,South Africa,01/01/1998,30/09/1998,1998,1998.75,1998 DHS,DHS,0,0.0618602694824143,0.320026441090972,0.0968077483611061,0.00788276239265994,9.91940476034461e-4,0.00369668584639135
0,1723,15-19,NA,NA,NA,NA,4.810439228,3.010601927,1.799837301,6.833031896,NA,NA,NA,UW,0,NA,NA,0,800,Uganda,01/03/1995,31/08/1995,1995.16,1995.66,1995 DHS,DHS,0,0.190259258188197,0.263898077192438,0.170640775220264,0.00330741441546421,0.00286443550696376,0.00756252500170042
0,1729,15-19,NA,NA,NA,NA,5.614020171,1.308638607,4.305381564,8.995232386,NA,NA,NA,UW,0,NA,NA,0,450,Madagascar,01/09/1997,31/12/1997,1997.67,1998,1997 DHS,DHS,0,0.25603822697665,0.153577430865834,0.114652890268649,0.00240766567985187,0.00483703607605151,0.00813953883051411
0,1730,15-19,NA,NA,NA,NA,1.476377953,0.787401575,0.688976378,2.460629921,NA,NA,NA,UW,0,NA,NA,0,686,Senegal,01/11/1992,31/08/1993,1992.83,1993.66,1992-1993 DHS,DHS,0,0.393442965743373,0.428976127028528,0.212996069319129,0.003073845792745,0.00293541937886955,0.00511073477901344
0,1731,15-19,NA,NA,NA,NA,1.412620051,0.524825774,0.887794278,NA,NA,NA,NA,UW,0,NA,NA,0,562,Niger,01/03/1992,30/06/1992,1992.16,1992.49,1992 DHS,DHS,0,0.424813195345952,0.444128231622122,NaN,0.00221875742106188,0.00390772393037001,0
0,1732,15-19,NA,NA,NA,NA,7.902518228,2.389032677,5.513485551,7.600903252,NA,NA,NA,UW,0,NA,NA,0,140,Central African Republic,01/09/1994,31/03/1995,1994.67,1995.24,1994-1995 DHS,DHS,0,0.223961032588057,0.185222267923481,0.133880070607864,0.00353937319972916,0.00705124455552176,0.00860302154504341
0,1733,15-19,NA,NA,NA,NA,0.591525444,0.455819571,0.135705874,NA,NA,NA,NA,UW,0,NA,NA,0,484,Mexico,01/02/1987,31/05/1987,1987.08,1987.41,1987 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1734,15-19,NA,NA,NA,NA,5.992417498,3.091092581,2.901324917,7.583012281,NA,NA,NA,UW,0,NA,NA,0,450,Madagascar,01/11/2003,31/03/2004,2003.83,2004.25,2003-2004 DHS,DHS,0,0.222297053522598,0.250296481595233,0.182373939945527,0.0060658327142668,0.00528157667277975,0.00777219011166826
0,1735,15-19,NA,NA,NA,NA,23.8882723,8.605012842,15.28325945,10.10904727,NA,NA,NA,UW,0,NA,NA,0,768,Togo,01/02/1998,31/05/1998,1998.08,1998.41,1998 DHS,DHS,0,0.120451898737648,0.101433609983825,0.110893001760998,0.00921075000037435,0.0125623559976024,0.00996484854398577
0,1736,15-19,NA,NA,NA,NA,0.161941561,0.161941561,0,0.728200993,NA,NA,NA,UW,0,NA,NA,0,562,Niger,01/01/2006,31/05/2006,2006,2006.41,2006 DHS,DHS,0,0.717151650052288,NaN,0.390195886801559,1.43770420857782e-4,0,0.00184407819964316
0,1737,15-19,NA,NA,NA,NA,31.67352873,12.63544756,19.03808116,13.22481181,NA,NA,NA,UW,0,NA,NA,0,266,Gabon,01/07/2000,31/01/2001,2000.5,2001.08,2000 DHS,DHS,0,0.119122442573043,0.0840290206327934,0.119497913755133,0.0126764414948538,0.0123478711186669,0.0128433019167637
0,1738,15-19,Estimated from data reported for all women and married/in-union women.,NA,NA,NA,1.282142857,0.641071429,0.641071429,NA,NA,NA,NA,UW,0,NA,NA,0,324,Guinea,01/05/1992,31/07/1992,1992.33,1992.58,1992 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1739,15-19,NA,NA,NA,NA,6.997812655,3.551278516,3.446534139,7.181977196,NA,NA,NA,UW,0,NA,NA,0,324,Guinea,01/05/1999,31/07/1999,1999.33,1999.58,1999 DHS,DHS,0,0.173763519773751,0.197019639888537,0.136211659711415,0.00348537048427205,0.00463032374052603,0.00585124089485133
0,1740,15-19,NA,NA,NA,NA,13.11263192,8.695277778,4.417354142,9.331911293,NA,NA,NA,UW,0,NA,NA,0,324,Guinea,01/02/2005,30/06/2005,2005.08,2005.49,2005 DHS,DHS,0,0.18904762371189,0.209123521292789,0.12088158364567,0.0106347209741229,0.00454519805976073,0.00538965278382859
0,1741,15-19,NA,NA,NA,NA,1.286764706,0.735294118,0.551470588,NA,NA,NA,NA,UW,0,NA,NA,0,780,Trinidad and Tobago,01/05/1987,31/08/1987,1987.33,1987.66,1987 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1742,15-19,NA,NA,NA,NA,8.568184137,2.722141781,5.846042356,0.657813325,NA,NA,NA,UW,0,NA,NA,0,566,Nigeria,01/04/1990,31/10/1990,1990.25,1990.83,1990 DHS,DHS,0,0.190920868234346,0.196687265163496,0.344839899851809,0.00375026248467983,0.00898251540808818,0.00118490614241025
0,1751,15-19,NA,NA,NA,NA,6.944143945,3.560922212,3.383221733,6.105428282,NA,NA,NA,UW,0,NA,NA,0,288,Ghana,01/11/1998,28/02/1999,1998.83,1999.16,1998 DHS,DHS,0,0.198204658492652,0.229493175234547,0.157489345308685,0.00417630136374084,0.00313692305225815,0.00533517645408599
0,1752,15-19,NA,NA,NA,NA,8.519957591,6.327078844,2.192878747,6.555368164,NA,NA,NA,UW,0,NA,NA,0,288,Ghana,01/07/2003,31/10/2003,2003.5,2003.83,2003 DHS,DHS,0,0.144434359488833,0.252243906326966,0.142654373407203,0.00253232688794892,0.00116048126466488,0.00251550709890381
0,1753,15-19,NA,NA,NA,NA,6.083086053,1.038575668,5.044510386,NA,NA,NA,NA,UW,0,NA,NA,0,288,Ghana,01/02/1988,30/06/1988,1988.08,1988.49,1988 DHS,DHS,0,NA,NA,NA,NA,NA,NA
0,1754,15-19,NA,NA,NA,NA,10.90342679,4.205607477,6.697819315,3.2710280370000002,NA,NA,NA,UW,0,NA,NA,0,288,Ghana,01/09/1993,28/02/1994,1993.67,1994.16,1993 DHS,DHS,0,0.208508134400363,0.161591781670968,0.237705793633479,0.00840565061822422,0.0101063569473045,0.00751496202610386
0,1758,15-19,NA,NA,NA,NA,21.92893858,20.5620732,1.366865379,12.87083343,NA,NA,NA,UW,0,NA,NA,0,508,Mozambique,01/08/2003,31/01/2004,2003.58,2004.08,2003 DHS,DHS,1,0.0799541480587577,0.244720507238548,0.133892196164311,0.00513764266553148,8.46499163062055e-4,0.00355745037794887
0,1759,15-19,NA,NA,NA,NA,2.893490535,2.589047278,0.304443257,3.375421714,NA,NA,NA,UW,0,NA,NA,0,558,Nicaragua,01/09/2001,31/12/2001,2001.67,2002,2001 DHS,DHS,0,0.168240215769126,0.452355951912643,0.164112350826738,0.00308795236431811,0.0013285311788894,0.00470255670201551
0,1761,15-19,NA,NA,NA,NA,10.7987061,5.046638865,5.752067231,8.318134566,NA,NA,NA,UW,0,NA,NA,0,204,Benin,01/08/2001,30/11/2001,2001.58,2001.91,2001 DHS,DHS,0,0.173660495949076,0.143021172903439,0.117930602035836,0.00561818729866339,0.00421475288471076,0.00628704840315611
